Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C14, C17, C37, C39, C41, C43, C45, C5, C9",0402,11,10n,C15195
"C11, C12, C13, C15, C16, C18, C2, C21, C22, C25, C26, C27, C29, C30, C35, C36, C38, C4, C40, C42, C44, C6, C7",0402,23,0.1u,C307331
"C19, C20",0402,2,12p,C1547
"C23, C24, C3, C46, C47, C48, C49, C8",0402,8,4.7u,C23733
"C28, C31, C33, C34",0603,4,10u,C182375
C32,0402,1,27p,C126504
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D7, D8, D9",D_SOD-923,64,D_TVS_Small,C96512
"D65, D66",0603,2,LED_Small,
FB1,0402,1,FerriteBead_Small,C491490
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,C165948
"J2, J3, J4, J5",IDC-Header_2x10_P2.54mm_Vertical,4,Conn_02x10_Odd_Even,C221051
L1,1008,1,1.5u,C2047523
"R1, R2",0402,2,5.1k,C25905
"R10, R3, R43, R44, R83, R9",0402,6,1k,C11702
"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77",0402,64,100,C25076
R4,0805,1,0,
"R45, R78, R79, R80",0402,4,10k,C25744
"R5, R7",0402,2,2.2k,C25933
"R6, R8, R82",0402,3,100k,C258090
R81,0402,1,82k,C4142
U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TLV75533PDRV,C2861750
U2,SOT-23-5,1,AP2127K-2.5,C460326
U3,TSSOP-8_4.4x3mm_P0.65mm,1,BL24C256A,C110276
U4,SOT-666,1,USBLC6-2P6,C15999
U5,QFN-56-1EP_8x8mm_P0.5mm_EP4.5x5.2mm,1,CY7C68013A-56LTX,C14912
U6,BGA-256_14.0x14.0mm_Layout16x16_P0.8mm_Ball0.45mm_Pad0.32mm_NSMD,1,ECP5U_25_CABGA256,
U7,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ,C2843335
U8,SOT-563,1,TPS62A01ADRLR,C5181455
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,24 MHz,C2689430
